sample_id,left_index,right_index,left_time_s,right_time_s,abs_time_diff_s,left_width,left_height,left_brightness_mean,left_brightness_std,right_width,right_height,right_brightness_mean,right_brightness_std,left_path,right_path,pair_path
0,0,0,1752754301.361158,1752754301.4942338,0.1330759525299072,1024,576,109.6281558057997,47.324034513892535,1024,576,118.72224136352536,43.451191237419025,outputs/plots/camera_samples/sample_00_left.png,outputs/plots/camera_samples/sample_00_right.png,outputs/plots/camera_samples/sample_00_pair.png
1,184,183,1752754313.728643,1752754313.728643,0.0,1024,576,126.58967285325791,44.00278959889953,1024,576,123.86108965386279,43.37303370020032,outputs/plots/camera_samples/sample_01_left.png,outputs/plots/camera_samples/sample_01_right.png,outputs/plots/camera_samples/sample_01_pair.png
2,369,368,1752754326.096175,1752754326.096175,0.0,1024,576,114.59837230936688,42.56893001834494,1024,576,112.90316356235081,41.300705506754376,outputs/plots/camera_samples/sample_02_left.png,outputs/plots/camera_samples/sample_02_right.png,outputs/plots/camera_samples/sample_02_pair.png
3,554,554,1752754349.598006,1752754349.598006,0.0,1024,576,109.69710424126521,63.507997409645526,1024,576,106.8231958516439,62.86688636734925,outputs/plots/camera_samples/sample_03_left.png,outputs/plots/camera_samples/sample_03_right.png,outputs/plots/camera_samples/sample_03_pair.png
4,739,737,1752754376.2668998,1752754376.2668998,0.0,1024,576,119.39631494310169,63.322662537094075,1024,576,117.95617380438915,61.6124367629558,outputs/plots/camera_samples/sample_04_left.png,outputs/plots/camera_samples/sample_04_right.png,outputs/plots/camera_samples/sample_04_pair.png
5,924,920,1752754401.8686378,1752754401.8686378,0.0,1024,576,103.12979936218261,73.9758138284735,1024,576,100.934794245402,72.73908491639189,outputs/plots/camera_samples/sample_05_left.png,outputs/plots/camera_samples/sample_05_right.png,outputs/plots/camera_samples/sample_05_pair.png
6,1109,1102,1752754428.2708879,1752754428.2708879,0.0,1024,576,93.59395364210337,52.37447532175375,1024,576,95.82271196662055,52.43938858730068,outputs/plots/camera_samples/sample_06_left.png,outputs/plots/camera_samples/sample_06_right.png,outputs/plots/camera_samples/sample_06_pair.png
7,1294,1285,1752754454.53952,1752754454.53952,0.0,1024,576,98.97108152770998,54.72148419279979,1024,576,102.36830526902942,53.43563322888783,outputs/plots/camera_samples/sample_07_left.png,outputs/plots/camera_samples/sample_07_right.png,outputs/plots/camera_samples/sample_07_pair.png
8,1479,1470,1752754482.274899,1752754482.274899,0.0,1024,576,103.29287950981987,51.710859118701926,1024,576,101.14404451836474,50.19655712849077,outputs/plots/camera_samples/sample_08_left.png,outputs/plots/camera_samples/sample_08_right.png,outputs/plots/camera_samples/sample_08_pair.png
9,1664,1659,1752754509.4101129,1752754509.4101129,0.0,1024,576,118.38515158759225,81.52937053380471,1024,576,116.92845167032877,80.02634752110637,outputs/plots/camera_samples/sample_09_left.png,outputs/plots/camera_samples/sample_09_right.png,outputs/plots/camera_samples/sample_09_pair.png
10,1849,1840,1752754535.0454369,1752754535.0454369,0.0,1024,576,109.8553258446588,57.13103021892798,1024,576,108.01379618326821,56.019683784830846,outputs/plots/camera_samples/sample_10_left.png,outputs/plots/camera_samples/sample_10_right.png,outputs/plots/camera_samples/sample_10_pair.png
11,2034,2027,1752754560.6471648,1752754560.5806038,0.0665609836578369,1024,576,97.53991525099013,61.20228018966544,1024,576,96.2420821787516,64.30669955346892,outputs/plots/camera_samples/sample_11_left.png,outputs/plots/camera_samples/sample_11_right.png,outputs/plots/camera_samples/sample_11_pair.png
