frame_index_in_bag,sampled_position,unified_time_s,time_source,frame_id,height,width,estimated_point_count,decoded_point_count,valid_xyz_count,invalid_xyz_count,valid_ratio,x_min,x_max,y_min,y_max,z_min,z_max,range_min,range_max,range_mean,intensity_mean,reflectivity_mean,ambient_mean,unique_ring_count
0,0,1752754292.0316887,bag_minus_offset,os_lidar,128,512,65536,65536,41713,23823,0.6364898681640625,-66.33407592773438,55.40586853027344,-42.931026458740234,52.608116149902344,-2.9363527297973633,17.50616455078125,894.0,66355.0,9216.0146484375,436.3720703125,10.143144607543945,4491.16796875,117
418,1,1752754312.4057503,bag_minus_offset,os_lidar,128,512,65536,65536,41549,23987,0.6339874267578125,-110.916015625,61.62371063232422,-38.28250503540039,37.32979965209961,-2.4671380519866943,16.871612548828125,908.0,110917.0,9499.603515625,381.9656982421875,9.868973731994629,4465.216796875,119
837,2,1752754319.4557106,bag_minus_offset,os_lidar,128,512,65536,65536,42570,22966,0.649566650390625,-113.59590911865234,57.52972412109375,-35.75398635864258,36.81886672973633,-3.1061365604400635,17.17729949951172,894.0,113729.0,9182.9736328125,380.0120849609375,9.516490936279297,4418.8408203125,119
1256,3,1752754326.4393315,bag_minus_offset,os_lidar,128,512,65536,65536,39428,26108,0.60162353515625,-122.3629379272461,58.795143127441406,-34.12356948852539,56.43730163574219,-5.896933078765869,17.519346237182617,897.0,122850.0,8807.0673828125,407.4825134277344,10.021913528442383,4541.5693359375,118
1675,4,1752754336.9462264,bag_minus_offset,os_lidar,128,512,65536,65536,35051,30485,0.5348358154296875,-78.38414001464844,65.26402282714844,-40.54584503173828,53.28554916381836,-4.586879253387451,19.797353744506836,908.0,78433.0,8817.3662109375,327.4421691894531,7.524806499481201,4238.34130859375,102
2094,5,1752754353.403179,bag_minus_offset,os_lidar,128,512,65536,65536,34415,31121,0.5251312255859375,-45.6888542175293,36.649818420410156,-47.399742126464844,50.560546875,-8.338516235351562,21.142147064208984,902.0,55887.0,9337.5361328125,331.4979553222656,9.204068183898926,5553.77197265625,106
2513,6,1752754368.943872,bag_minus_offset,os_lidar,128,512,65536,65536,26747,38789,0.4081268310546875,-41.853515625,126.60423278808594,-45.817813873291016,91.51950073242188,-2.027705669403076,20.319473266601562,989.0,156262.0,6863.17626953125,431.9157409667969,7.188731670379639,3855.769775390625,128
2932,7,1752754383.702144,bag_minus_offset,os_lidar,128,512,65536,65536,37352,28184,0.5699462890625,-67.58218383789062,55.81141662597656,-58.026214599609375,51.05025863647461,-2.954320192337036,18.74394989013672,903.0,81251.0,8070.66162109375,436.7219543457031,8.952880859375,6321.95263671875,121
3351,8,1752754397.9940352,bag_minus_offset,os_lidar,128,512,65536,65536,34756,30780,0.53033447265625,-143.1917724609375,39.69951248168945,-60.69536590576172,39.95219421386719,-3.618849039077759,18.116100311279297,897.0,144331.0,8416.689453125,381.892333984375,9.127546310424805,5895.42236328125,126
3770,9,1752754413.2452638,bag_minus_offset,os_lidar,128,512,65536,65536,37699,27837,0.5752410888671875,-38.77973175048828,65.46027374267578,-154.8941192626953,41.05665588378906,-3.693479061126709,14.181502342224121,908.0,157279.0,8685.0361328125,364.1486511230469,8.397119522094727,5528.3828125,128
4189,10,1752754427.8413017,bag_minus_offset,os_lidar,128,512,65536,65536,32950,32586,0.502777099609375,-46.76611328125,49.885433197021484,-51.28717803955078,50.22459411621094,-2.4214420318603516,20.92103385925293,907.0,72898.0,7598.59375,447.3105773925781,9.974325180053711,4216.5947265625,118
4608,11,1752754442.1488883,bag_minus_offset,os_lidar,128,512,65536,65536,31147,34389,0.4752655029296875,-63.151588439941406,52.11655807495117,-54.19516372680664,54.692649841308594,-2.568613052368164,14.233644485473633,901.0,66514.0,6518.44140625,446.78289794921875,7.266478538513184,4964.5673828125,116
5027,12,1752754457.3995645,bag_minus_offset,os_lidar,128,512,65536,65536,36220,29316,0.55267333984375,-38.27044677734375,77.5609359741211,-39.88461685180664,38.05255126953125,-2.619983434677124,21.489402770996094,894.0,77746.0,8579.57421875,392.9568786621094,9.059635162353516,4084.77490234375,110
5446,13,1752754472.9523914,bag_minus_offset,os_lidar,128,512,65536,65536,36429,29107,0.5558624267578125,-173.02911376953125,57.509586334228516,-54.649131774902344,39.19676208496094,-5.147572994232178,27.444076538085938,906.0,176044.0,8255.6748046875,437.0924072265625,8.4307279586792,5454.2421875,120
5865,14,1752754488.338813,bag_minus_offset,os_lidar,128,512,65536,65536,32540,32996,0.49652099609375,-51.038936614990234,48.875125885009766,-61.793601989746094,56.54899978637695,-7.82754373550415,16.554912567138672,832.0,80528.0,8747.8408203125,313.4049987792969,7.219483852386475,4116.72802734375,110
6284,15,1752754503.5613241,bag_minus_offset,os_lidar,128,512,65536,65536,39477,26059,0.6023712158203125,-95.86980438232422,49.03343963623047,-174.96839904785156,41.991432189941406,-12.235970497131348,18.343948364257812,893.0,199887.0,8548.6650390625,389.0403137207031,9.58428955078125,4249.49755859375,121
6703,16,1752754517.9444187,bag_minus_offset,os_lidar,128,512,65536,65536,33157,32379,0.5059356689453125,-51.71125411987305,74.66770935058594,-54.991294860839844,33.77978515625,-3.227166175842285,16.210765838623047,901.0,92372.0,8391.1796875,468.2271728515625,10.727869987487793,4512.8623046875,115
7122,17,1752754532.204238,bag_minus_offset,os_lidar,128,512,65536,65536,41662,23874,0.635711669921875,-27.06291961669922,29.963197708129883,-40.61052703857422,103.40228271484375,-2.260380268096924,19.366058349609375,897.0,105112.0,7884.56298828125,524.3228149414062,9.592506408691406,3817.785888671875,114
7541,18,1752754546.8035717,bag_minus_offset,os_lidar,128,512,65536,65536,42862,22674,0.654022216796875,-66.31307983398438,54.95965576171875,-40.58355712890625,53.39112854003906,-2.929710865020752,17.404850006103516,845.0,66334.0,9119.7861328125,406.2426452636719,9.86220932006836,4500.02197265625,118
7960,19,1752754561.3460333,bag_minus_offset,os_lidar,128,512,65536,65536,41699,23837,0.6362762451171875,-66.33407592773438,55.40586853027344,-42.931026458740234,52.608116149902344,-2.9363527297973633,17.50616455078125,894.0,66355.0,9158.4296875,435.1153259277344,10.030336380004883,4492.39990234375,117
