frame_index_in_bag,sampled_position,unified_time_s,time_source,frame_id,decoded_point_count,valid_xyz_count,valid_ratio,x_min,x_max,y_min,y_max,z_min,z_max,radial_distance_mean,radial_velocity_mean,radial_velocity_std,snr_mean,rcs_mean,measurement_status_unique
0,0,1752754301.310747,header,base_link,375,375,1.0,3.3587141036987305,149.4811553955078,-43.61103820800781,82.48957824707031,-36.02352523803711,36.51908493041992,54.64763641357422,-0.9473758935928345,8.664932250976562,20.262907028198242,-1.3722851276397705,12
71,1,1752754305.997722,header,base_link,426,426,1.0,2.6085288524627686,151.6720733642578,-58.16660690307617,95.40839385986328,-33.14348220825195,36.999908447265625,59.110877990722656,-0.10275503247976303,3.1191632747650146,18.74562644958496,-1.2027509212493896,16
142,2,1752754310.68689,header,base_link,345,345,1.0,3.3441579341888428,151.005859375,-39.31547927856445,47.1705436706543,-31.705066680908203,33.29064178466797,49.8845100402832,-0.0023635076358914375,0.03556625545024872,20.71354103088379,-2.0981838703155518,11
214,3,1752754315.437129,header,base_link,375,375,1.0,2.5934066772460938,151.37939453125,-116.93505096435547,45.025238037109375,-27.120420455932617,33.15937042236328,47.391448974609375,-0.3976404666900635,4.2997660636901855,20.59511375427246,-1.9322341680526733,16
285,4,1752754320.117581,header,base_link,417,417,1.0,2.8062703609466553,151.2308349609375,-40.223880767822266,51.939361572265625,-33.595394134521484,34.86594009399414,55.161739349365234,-1.187482476234436,0.552334725856781,20.15691566467285,-2.7065978050231934,13
357,5,1752754324.877867,header,base_link,443,443,1.0,5.741538047790527,149.75753784179688,-49.27814865112305,61.76569366455078,-35.040245056152344,36.319034576416016,66.99361419677734,-1.4534975290298462,1.9066988229751587,19.288074493408203,-1.5606633424758911,12
428,6,1752754329.557449,header,base_link,370,370,1.0,6.129964351654053,146.02276611328125,-54.28122329711914,38.95954132080078,-32.01438522338867,31.411623001098633,57.74549102783203,-1.6546614170074463,2.3999898433685303,17.990434646606445,-3.487257242202759,12
500,7,1752754339.857815,header,base_link,401,401,1.0,2.1168291568756104,130.38531494140625,-57.2109260559082,33.896480560302734,-27.215469360351562,30.220619201660156,62.6296272277832,-1.0497701168060303,3.2757408618927,14.933194160461426,-6.928571701049805,11
571,8,1752754350.807953,header,base_link,358,358,1.0,11.605071067810059,88.5715103149414,-63.87023162841797,33.332794189453125,-10.703904151916504,19.11583709716797,34.15829086303711,-1.5030885934829712,0.6231439709663391,17.874422073364258,-12.212274551391602,10
643,9,1752754361.967574,header,base_link,328,328,1.0,2.5707075595855713,66.18563842773438,-34.15104293823242,18.87903594970703,-16.48634910583496,16.48634910583496,23.40478515625,-1.7098246812820435,1.8992632627487183,24.168277740478516,-14.09644889831543,11
714,10,1752754371.47585,header,base_link,498,498,1.0,3.0861656665802,87.50633239746094,-33.01126480102539,30.993572235107422,-19.04570770263672,19.11583137512207,40.129032135009766,-1.4548799991607666,3.479783058166504,20.294851303100586,-11.005974769592285,10
786,11,1752754381.169048,header,base_link,452,452,1.0,4.263059139251709,71.50225067138672,-44.341285705566406,53.59025955200195,-21.65682601928711,14.82639217376709,35.82392883300781,-1.8279438018798828,2.7859556674957275,19.52501106262207,-11.06110668182373,12
857,12,1752754390.808819,header,base_link,402,402,1.0,6.229395866394043,74.21525573730469,-56.4393424987793,26.735637664794922,-17.32880401611328,16.664119720458984,42.02316665649414,-1.385140061378479,0.18701457977294922,17.98069190979004,-8.13126277923584,12
929,13,1752754400.708228,header,base_link,296,296,1.0,1.3601881265640259,46.89052200317383,-17.100900650024414,23.49714469909668,-7.385088920593262,11.770236015319824,18.91139030456543,-0.8504823446273804,1.7240183353424072,23.462257385253906,-17.76015853881836,10
1000,14,1752754409.949049,header,base_link,419,419,1.0,5.333507061004639,106.60436248779297,-35.746910095214844,47.87550735473633,-20.669830322265625,23.295991897583008,44.37044143676758,-1.7735991477966309,5.121646404266357,18.825664520263672,-12.173487663269043,9
1072,15,1752754419.926914,header,base_link,557,556,0.9982046678635548,4.244835376739502,150.14193725585938,-42.563087463378906,56.62277603149414,-30.916046142578125,31.993980407714844,57.56575012207031,-1.8303570747375488,3.2463431358337402,17.27580451965332,-9.04564380645752,12
1143,16,1752754429.557365,header,base_link,569,569,1.0,5.85744571685791,122.57152557373047,-37.63982391357422,31.701318740844727,-22.265243530273438,27.89116859436035,46.749656677246094,-1.8304823637008667,0.1425415277481079,16.795927047729492,-12.244913101196289,10
1215,17,1752754440.057698,header,base_link,600,600,1.0,3.6962666511535645,119.10112762451172,-39.67393493652344,33.436607360839844,-17.33026885986328,26.792564392089844,45.866641998291016,-1.9124062061309814,0.20348718762397766,17.9033145904541,-7.8907790184021,12
1286,18,1752754450.417197,header,base_link,493,493,1.0,3.7253167629241943,125.88597869873047,-46.315643310546875,47.54294967651367,-15.798538208007812,20.15662956237793,40.854408264160156,-1.9462242126464844,0.3879472315311432,19.705930709838867,-4.943004131317139,11
1358,19,1752754460.699947,header,base_link,453,453,1.0,2.9498894214630127,82.19731903076172,-43.47702407836914,26.58756446838379,-9.50949478149414,18.35348892211914,28.955276489257812,-2.0796074867248535,4.095658302307129,22.1063232421875,-14.630043029785156,11
1429,20,1752754470.99903,header,base_link,285,285,1.0,3.264085292816162,150.45631408691406,-36.55668258666992,56.626548767089844,-20.327425003051758,37.09278869628906,39.110721588134766,-1.4649310111999512,4.61898946762085,21.23573112487793,-11.687721252441406,12
1501,21,1752754481.360151,header,base_link,417,417,1.0,3.2871549129486084,144.8630828857422,-45.264312744140625,60.866119384765625,-24.492889404296875,32.2202033996582,54.52391052246094,-0.8594663143157959,3.464153528213501,18.759124755859375,-2.9671194553375244,10
1572,22,1752754491.590312,header,base_link,413,413,1.0,3.4064602851867676,110.72477722167969,-47.2137336730957,34.945762634277344,-14.145913124084473,21.866167068481445,42.94371795654297,-1.7223917245864868,0.2236059606075287,19.385536193847656,-6.275433540344238,12
1644,23,1752754501.897885,header,base_link,483,483,1.0,6.531691074371338,84.8225326538086,-23.51190757751465,30.85944938659668,-15.498860359191895,17.067399978637695,38.873783111572266,-2.174457550048828,4.460355758666992,19.131057739257812,-10.645366668701172,11
1715,24,1752754511.520604,header,base_link,434,434,1.0,5.753087043762207,90.83784484863281,-36.65866470336914,28.0249080657959,-16.186437606811523,17.704280853271484,41.137821197509766,-1.901127815246582,0.33241143822669983,20.429723739624023,-4.390031814575195,10
1787,25,1752754521.95812,header,base_link,484,484,1.0,4.061478614807129,112.22473907470703,-61.130332946777344,41.83525848388672,-20.189355850219727,22.719417572021484,48.087711334228516,-1.98175847530365,0.5140078663825989,19.80760955810547,-2.193868398666382,12
1858,26,1752754531.528695,header,base_link,589,589,1.0,6.389334201812744,88.50599670410156,-50.31375503540039,45.41453170776367,-15.44289493560791,19.998294830322266,36.655757904052734,-1.8008575439453125,2.097498655319214,22.912622451782227,-3.2546539306640625,10
1930,27,1752754541.160495,header,base_link,366,365,0.9972677595628415,4.997304916381836,151.29501342773438,-37.55070495605469,70.18470764160156,-34.18739318847656,31.08460807800293,52.29645919799805,-0.8598520755767822,1.0074284076690674,20.09278678894043,-3.6884093284606934,13
2001,28,1752754550.9901,header,base_link,287,287,1.0,0.5983827114105225,135.20401000976562,-43.53565979003906,96.97418212890625,-19.569021224975586,22.904888153076172,41.705718994140625,-0.47231900691986084,6.506528854370117,20.619977951049805,-3.398169994354248,15
2073,29,1752754560.690014,header,base_link,234,234,1.0,0.4651176929473877,67.79084777832031,-46.350914001464844,52.16749954223633,-16.38363265991211,16.076480865478516,37.34981918334961,-0.0021945666521787643,0.022883985191583633,18.16699981689453,-1.5226854085922241,12
